,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
Journal of Nursing and Midwifery Sciences,2345-5764,20-January-2023,Journal not adhering to Best practice
Organisational Project Management,2203-6156,19-January-2023,Ceased publishing
Mantar Dergisi,2147-6845,19-January-2023,Journal not adhering to Best practice
Fertility Research and Practice,2054-7099,17-January-2023,Inactive (has not published in the last calendar year)
Project Management Research and Practice,2207-1415,17-January-2023,Inactive (has not published in the last calendar year)
Journal of Chinese Pharmaceutical Sciences,1003-1057,17-January-2023,Journal not adhering to Best practice
Aquatic Science & Management: Jurnal Ilmu dan Manajemen Perairan,2337-5000,16-January-2023,Journal not adhering to Best practice
High-Throughput,2571-5135,16-January-2023,Ceased publishing
Soils,2411-5126,16-January-2023,Ceased publishing
Chromatography,2227-9075,16-January-2023,Ceased publishing
Microarrays,2076-3905,16-January-2023,Ceased publishing
Iliria International Review,2365-8592,12-January-2023,Web site URL no longer works
BMJ Open Science,2398-8703,10-January-2023,Ceased publishing
Офтальмохирургия,0235-4160,9-January-2023,Web site URL no longer works
Revista Direito Ambiental e Sociedade,2237-0021,8-January-2023,Web site URL no longer works
"Turbo: Jurnal Program Studi Teknik Mesin",2301-6663,5-January-2023,Journal not adhering to Best practice
Journal of Pancreatic Cancer,2475-3246,3-January-2023,Ceased publishing
Androgens,2689-4653,3-January-2023,Ceased publishing
Taiwania,0372-333X,1-January-2023,Journal not adhering to Best practice
International Journal of Psychology and Educational Studies,2148-9378,29-December-2022,Journal not adhering to Best practice
International Journal of Contemporary Educational Research,2148-3868,28-December-2022,Journal not adhering to Best practice
Rosa dos Ventos,2178-9061,28-December-2022,Web site URL no longer works
International Journal of Pedagogy and Teacher Education,2549-8525,27-December-2022,Journal not adhering to Best practice
Sosyal Ekonomik Araştırmalar Dergisi,2148-3043,22-December-2022,Journal not adhering to Best practice
المجلة الأفريقية للعلوم السياسية ,2661-7617,22-December-2022,Journal is no longer Open Access
International Journal of Early Childhood Special Education,1308-5581,21-December-2022,Journal not adhering to Best practice
Journal of International Translational Medicine,2227-6394,21-December-2022,Web site URL no longer works
Revista Foco,1981-223X,20-December-2022,Web site URL no longer works
OPSIS : Revista do Departamento de História e Ciências Sociais ,2177-5648,19-December-2022,Web site URL no longer works
Bulletin of Educational Research,1028-8708,7-December-2022,Journal is no longer Open Access. Journal not adhering to Best practice
"Revista Innova Educación
",2664-1488,6-December-2022,Journal not adhering to Best practice
"Gestionar
",2810-823X,6-December-2022,Journal not adhering to Best practice
SCHOLE,1995-4328,5-December-2022,Journal not adhering to Best practice
International Journal of Enteric Pathogens,2322-5866,5-December-2022,Web site URL no longer works
Ankara Üniversitesi Dil ve Tarih-Coğrafya Fakültesi Dergisi ,2459-0150,2-December-2022,Journal not adhering to Best practice
"Global: Jurnal Politik Internasional",1411-5492,30-November-2022,Journal not adhering to Best practice
"Journal of Engineering and Technological Sciences",2337-5779,28-November-2022,Changed publisher but hasn't supplied new URLs/site
Revista Antioqueña de las Ciencias Computacionales y la Ingeniería de Software (RACCIS),2248-7441,24-November-2022,Ceased publishing
Fruitset Sains,2302-9668,23-November-2022,Journal not adhering to Best practice
Agripreneur,2302-9625,23-November-2022,Journal not adhering to Best practice
Journal of Advanced Laboratory Research in Biology,0976-7614,18-November-2022,Journal not adhering to Best practice
Research on World Agricultural Economy,2737-4777,17-November-2022,Journal not adhering to Best practice
Sustainable Marine Structures,2661-3158,17-November-2022,Journal not adhering to Best practice
Journal for ReAttach Therapy and Developmental Diversities,2589-7799,15-November-2022,Journal not adhering to Best practice
Helgoland Marine Research,1438-3888,8-November-2022,Changed publisher but hasn't supplied new URLs/site
Asian Journal of Sustainability and Social Responsibility,2365-6417,8-November-2022,Changed publisher but hasn't supplied new URLs/site
Frontiers of Business Research in China,1673-7431,8-November-2022,Journal is no longer Open Access
Literacy and Numeracy Studies,1839-2903,3-November-2022,Ceased publishing
Mediterranean Journal of Rheumatology,2529-198X,2-November-2022,Journal not adhering to Best practice
Journal of Social Science,2721-5202,1-November-2022,Journal not adhering to Best practice
Space Ontology International Journal,2345-6450,31-October-2022,Web site URL no longer works
Материаловедение. Энергетика,2687-1300,31-October-2022,Ceased publishing
Hematology/Oncology and Stem Cell Therapy ,2589-0646,28-October-2022,Changed publisher but hasn't supplied new URLs/site
Nalans,2148-4066,27-October-2022,Journal not adhering to Best practice
Health Notions,2580-4936,26-October-2022,Journal not adhering to Best practice
International Journal of Progressive Education,1554-5210,26-October-2022,Journal not adhering to Best practice
Educational Policy Analysis and Strategic Research,1949-4289,26-October-2022,Journal not adhering to Best practice
At-Tahdzib,2089-7723,25-October-2022,Journal not adhering to Best practice
Journal für Gynäkologische Endokrinologie,1996-1553,24-October-2022,Journal is no longer Open Access
Trends in Psychology,2358-1883,23-October-2022,Journal is no longer Open Access
Ore and Energy Resource Geology,2666-2612,20-October-2022,Journal is no longer Open Access
Acta Graphica,1848-3828,18-October-2022,Ceased publishing
Applied Linguistics Research Journal ,2651-2629,18-October-2022,Journal not adhering to Best practice
Jurnal Pengembangan Kota,2337-7062,10-October-2022,Journal not adhering to Best practice
Tıp Eğitimi Dünyası,1303-328X,10-October-2022,Journal not adhering to Best practice
International Journal of Biobased Plastics,2475-9651,4-October-2022,Ceased publishing
Journal of Travel and Hospitality Management,1304-7590,26-September-2022,Journal not adhering to Best practice
Central European Journal of Labour Law and Personnel Management,2644-4542,20-September-2022,Ceased publishing
Laplage em Revista,2446-6220,19-September-2022,Ceased publishing
Gıda,1300-3070,13-September-2022,Journal not adhering to Best practice
JAKI (Jurnal Akuntansi dan Keuangan Indonesia),2406-9701,12-September-2022,Journal not adhering to Best practice
Journal of Medical Education,1735-3998,1-September-2022,Journal not adhering to Best practice
The International Journal of Occupational and Environmental Medicine,2008-6520,1-September-2022,Ceased publishing
EGambling,1494-5185,27-August-2022,Ceased publishing
Journal of Humanitarian Engineering,2200-7571,27-August-2022,Ceased publishing
"International Journal of Innovation in Management, Economics and Social Sciences",2783-1906,26-August-2022,Journal not adhering to Best practice
Eğitim Bilimleri Araştırmaları Dergisi,2146-5266,22-August-2022,Web site URL no longer works
Инновационная медицина Кубани,2541-9897,22-August-2022,Journal not adhering to Best practice
Acta Bioethica,0717-5906,20-August-2022,Journal not adhering to Best practice
Intus-Legere Historia,0718-5456,20-August-2022,Journal not adhering to Best practice
Revista de Investigaciones Marinas,1991-6086,20-August-2022,Journal not adhering to Best practice
"Revista Científico Pedagógica ""Atenas""",1682-2749,20-August-2022,Journal not adhering to Best practice
Revista Cubana de Pediatría,0034-7531,20-August-2022,Journal not adhering to Best practice
Odontología,1390-7468,20-August-2022,Journal not adhering to Best practice
Mexican Journal of Materials Science and Engineering,2395-9630,20-August-2022,Journal not adhering to Best practice
Revista de El Colegio de San Luis,1665-899X,20-August-2022,Journal not adhering to Best practice
Acta Poética,0185-3082,20-August-2022,Journal not adhering to Best practice
Epistemus,2007-4530,20-August-2022,Journal not adhering to Best practice
Estudios Políticos,0185-1616,20-August-2022,Journal not adhering to Best practice
América Latina en la Historia Económica,1405-2253,20-August-2022,Journal not adhering to Best practice
Boletín de la Sociedad Geológica Mexicana,1405-3322,20-August-2022,Journal not adhering to Best practice
Convergencia,1405-1435,20-August-2022,Journal not adhering to Best practice
Index de Enfermería,1132-1296,20-August-2022,Journal not adhering to Best practice
Anales de Psicología,0212-9728,20-August-2022,Journal not adhering to Best practice
"FairPlay : Revista de Filosofia, Ética y Derecho del Deporte",2014-9255,20-August-2022,Journal not adhering to Best practice
Acción Psicológica,1578-908X,20-August-2022,Journal not adhering to Best practice
Sancho el Sabio: Revista de Investigación Vasca-Euskal Ikerketa Aldizkaria,1131-5350,20-August-2022,Journal not adhering to Best practice
Política,0716-1077,19-August-2022,Journal not adhering to Best practice
Tiempo Historico,0718-7432,19-August-2022,Journal not adhering to Best practice
Summa Psicologica UST,0718-0446,19-August-2022,Journal not adhering to Best practice
Summa Phytopathologica,0100-5405,19-August-2022,Journal not adhering to Best practice
Production,0103-6513,19-August-2022,Journal not adhering to Best practice
Physis,0103-7331,19-August-2022,Journal not adhering to Best practice
Ágora: Estudos em Teoria Psicanalítica,1516-1498,19-August-2022,Journal not adhering to Best practice
Alea: Estudos Neolatinos,1517-106X,18-August-2022,Journal not adhering to Best practice
Engenharia Sanitaria e Ambiental,1413-4152,18-August-2022,Journal not adhering to Best practice
Libyan International Medical University Journal,2519-139X,18-August-2022,Journal not adhering to Best practice
World Journal of Nuclear Medicine,1607-3312,18-August-2022,Journal not adhering to Best practice
Viaggiatori,2532-7623,18-August-2022,Web site URL no longer works
Analytica Chimica Acta: X,2590-1346,18-August-2022,Ceased publishing
Chemical Engineering Science: X,2590-1400,17-August-2022,Ceased publishing
"Psychology, Community & Health",2182-438X,8-August-2022,Web site URL no longer works
European Journal of Counselling Psychology,2195-7614,8-August-2022,Has not published enough articles this calendar year
Psychological Thought,2193-7281,8-August-2022,Web site URL no longer works
Daimon: Revista Internacional de Filosofía,1130-0507,5-August-2022,Journal not adhering to Best practice
Revista ORL,2444-7986,5-August-2022,Journal not adhering to Best practice
Farmacia Hospitalaria,1130-6343,2-August-2022,Ceased publishing
Андрология и генитальная хирургия,2070-9781,31-July-2022,Journal is no longer Open Access
Health Policy and Management,2029-9001,31-July-2022,Ceased publishing
Sakarya Üniversitesi İlahiyat Fakültesi Dergisi,2146-9806,30-July-2022,Journal not adhering to Best practice
International Journal of Advanced Research in Engineering,2412-4362,27-July-2022,Ceased publishing
Revista Universitaria del Caribe,2311-7346,26-July-2022,Web site URL no longer works
International Journal of Sino-Western Studies,1799-8204,26-July-2022,Web site URL no longer works
